id,trueTheta,user,category,estimateTheta
420,-1.0,2,[1, 0, 0, 1, 2, 1, 2, 2, 0, 2, 2, 1, 1, 4, 2, 2, 1, 2, 2, 2, 2, 4, 3, 2, 3, 1, 2, 0, 3, 1],-1.1454875252989174
450,-1.0,2,[3, 4, 2, 2, 3, 1, 2, 2, 0, 1, 1, 2, 2, 1, 2, 2, 1, 3, 5, 2, 3, 2, 2, 2, 2, 2, 1, 3, 2, 0],-0.9754749708194148
480,-1.0,2,[2, 1, 3, 2, 1, 2, 2, 2, 2, 0, 2, 0, 3, 1, 3, 3, 3, 3, 2, 2, 3, 2, 2, 4, 0, 4, 3, 0, 2, 2],-0.7585657229365572
510,-1.0,2,[0, 3, 3, 4, 3, 5, 3, 3, 2, 2, 2, 3, 2, 4, 3, 2, 2, 0, 4, 1, 0, 1, 4, 2, 2, 1, 2, 3, 2, 1],-0.5949324252308543
540,-1.0,2,[2, 2, 3, 2, 1, 1, 1, 3, 2, 2, 3, 2, 3, 3, 2, 2, 1, 2, 2, 3, 2, 0, 2, 1, 1, 2, 0, 3, 0, 2],-0.9843113623591613
570,-1.0,2,[2, 2, 2, 2, 0, 2, 0, 1, 0, 0, 2, 0, 3, 2, 2, 2, 2, 0, 1, 0, 3, 2, 2, 4, 2, 1, 2, 3, 2, 1],-1.2402693280041017
600,-1.0,2,[3, 2, 2, 2, 2, 3, 0, 3, 2, 2, 3, 1, 0, 1, 3, 1, 4, 0, 2, 4, 2, 3, 2, 2, 1, 1, 0, 2, 0, 0],-1.0421642747748123
630,0.0,3,[3, 4, 3, 2, 2, 3, 3, 4, 2, 2, 2, 2, 2, 2, 3, 5, 3, 3, 2, 3, 5, 3, 3, 2, 2, 4, 4, 3, 1, 4],-0.0830549634930891
660,0.0,3,[1, 3, 3, 2, 3, 2, 3, 3, 4, 2, 0, 3, 3, 0, 3, 2, 3, 3, 2, 3, 3, 5, 3, 4, 2, 3, 4, 2, 4, 2],-0.1902416466358531
690,0.0,3,[4, 3, 3, 3, 3, 4, 2, 3, 2, 3, 4, 1, 3, 2, 3, 3, 3, 3, 4, 2, 2, 4, 4, 2, 3, 2, 2, 2, 2, 3],0.02154010740254785
720,0.0,3,[2, 3, 3, 4, 2, 3, 2, 3, 3, 3, 3, 4, 3, 2, 2, 2, 3, 3, 3, 2, 2, 3, 3, 4, 1, 4, 3, 3, 0, 3],-0.08528541610438031
750,0.0,3,[2, 5, 3, 2, 3, 4, 3, 3, 4, 2, 5, 3, 3, 4, 2, 2, 3, 2, 5, 3, 2, 0, 1, 3, 2, 2, 3, 3, 2, 2],-0.3057531290242652
780,0.0,3,[4, 2, 2, 2, 2, 3, 4, 2, 3, 3, 4, 3, 3, 2, 3, 2, 3, 0, 4, 3, 2, 0, 3, 5, 3, 3, 4, 5, 2, 3],-0.09168743966587575
810,0.0,3,[2, 4, 5, 4, 3, 3, 2, 2, 2, 2, 3, 4, 3, 2, 2, 1, 4, 4, 1, 2, 3, 3, 3, 4, 3, 1, 3, 3, 4, 2],-0.08442480674863816
840,0.0,3,[2, 3, 3, 3, 4, 2, 3, 3, 1, 2, 2, 0, 2, 4, 3, 3, 4, 3, 2, 4, 4, 2, 3, 4, 3, 2, 2, 3, 4, 2],-0.07769209631745985
870,0.0,3,[3, 3, 3, 4, 3, 3, 4, 3, 2, 2, 4, 4, 3, 2, 3, 5, 3, 3, 2, 4, 3, 4, 3, 2, 2, 2, 1, 3, 2, 2],0.055345107986222414
900,0.0,3,[2, 3, 3, 2, 3, 4, 3, 3, 2, 1, 2, 4, 3, 2, 3, 2, 2, 3, 2, 2, 4, 2, 3, 3, 2, 2, 2, 3, 2, 3],-0.25164810695975626
930,1.0,4,[5, 3, 3, 4, 3, 3, 5, 3, 5, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 4, 5, 5, 2, 4, 5, 3, 4, 3],0.6146156818562812
960,1.0,4,[4, 3, 3, 5, 3, 4, 2, 3, 4, 4, 3, 3, 3, 5, 5, 4, 4, 3, 5, 4, 5, 4, 4, 5, 3, 3, 3, 4, 4, 5],0.6886314523936532
990,1.0,4,[4, 4, 3, 4, 4, 4, 5, 3, 4, 3, 3, 3, 3, 2, 4, 4, 2, 5, 4, 2, 3, 4, 3, 4, 4, 5, 3, 4, 5, 3],0.6406375576055856
1020,1.0,4,[3, 4, 4, 4, 3, 5, 2, 5, 4, 5, 4, 3, 3, 5, 4, 4, 1, 4, 4, 4, 3, 2, 3, 3, 4, 4, 4, 4, 2, 3],0.673601031608957
1050,1.0,4,[4, 4, 4, 4, 3, 3, 3, 5, 4, 5, 3, 4, 4, 2, 4, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 5, 4, 3, 5, 5],0.6925896556225756
1080,1.0,4,[4, 4, 3, 4, 4, 4, 4, 3, 5, 4, 2, 5, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 2, 5, 5, 3, 4, 4],0.8287433489947293
1110,1.0,4,[3, 4, 3, 4, 5, 3, 5, 3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 4, 1, 3, 4, 5, 4, 2, 3, 4, 2],0.6447998865439415
1140,1.0,4,[2, 4, 3, 5, 3, 5, 3, 4, 4, 3, 3, 4, 5, 4, 5, 4, 4, 5, 2, 4, 2, 3, 4, 4, 5, 4, 3, 3, 5, 4],0.6533279683136515
1170,1.0,4,[4, 4, 4, 5, 3, 4, 3, 4, 4, 3, 2, 4, 3, 4, 4, 4, 3, 3, 4, 4, 2, 4, 2, 5, 4, 3, 4, 4, 4, 4],0.8358450604608622
1200,1.0,4,[3, 3, 4, 4, 2, 5, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 4, 4, 3, 2, 4, 4, 4, 3, 4, 5, 3, 4, 4],0.6821636021559222
1230,2.0,5,[4, 4, 4, 4, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 4, 4, 5, 5, 5, 4, 5, 4, 3, 5, 4],1.1992901100796265
1260,2.0,5,[5, 5, 5, 5, 4, 4, 4, 4, 4, 5, 4, 5, 3, 2, 4, 5, 5, 3, 4, 4, 4, 5, 4, 4, 5, 4, 4, 5, 5, 4],1.0893977444966878
1290,2.0,5,[4, 4, 4, 5, 5, 5, 3, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 5, 4, 3, 3, 5, 5, 5, 4, 5, 4, 5, 4],1.0686580778992958
1320,2.0,5,[5, 4, 5, 4, 5, 4, 5, 5, 4, 4, 5, 3, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 4, 2, 5, 4, 4, 4, 5, 5],1.0463951404444682
1350,2.0,5,[5, 5, 4, 4, 5, 4, 4, 5, 5, 3, 5, 4, 5, 5, 5, 4, 2, 4, 4, 5, 5, 5, 3, 5, 2, 5, 4, 4, 4, 4],0.9350347447525401
1380,2.0,5,[4, 4, 3, 5, 5, 5, 2, 3, 4, 5, 5, 4, 4, 5, 4, 3, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 4],0.8818923822332606
1410,2.0,5,[5, 4, 5, 5, 4, 5, 4, 4, 4, 4, 5, 4, 5, 4, 4, 5, 5, 4, 5, 4, 4, 4, 4, 5, 5, 4, 5, 3, 5, 4],1.23829216553949
1440,2.0,5,[5, 3, 4, 4, 5, 5, 5, 3, 4, 4, 4, 5, 3, 5, 4, 4, 4, 4, 4, 5, 3, 4, 5, 5, 5, 5, 5, 4, 4, 5],1.0338562528691169
1470,2.0,5,[5, 4, 5, 4, 5, 4, 4, 5, 5, 4, 3, 4, 4, 5, 5, 4, 4, 4, 4, 5, 3, 4, 4, 5, 5, 5, 4, 5, 5, 4],1.1629021434032223
1500,2.0,5,[4, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 4, 5, 4, 5, 5, 2, 4, 3, 5, 3, 4, 4, 4, 5, 5, 4, 5],0.9849459188417905
